Timestamp,DeviceName,AccountName,ActionType,SHA256,FolderPath,ProcessCommandLine
"Apr 1, 2026 2:18:36 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4100:27489 -prefMapHandle 4192:277965 -jsInitHandle 4196:242716 -parentBuildID 20260323080000 -ipcHandle 4204 -initialChannelId {9cec625f-12ec-4636-b180-64801a675184} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 7 tab"
"Apr 1, 2026 2:18:39 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4868:27489 -prefMapHandle 4872:277965 -jsInitHandle 4876:242716 -parentBuildID 20260323080000 -ipcHandle 4884 -initialChannelId {6cad75e5-aef3-4218-8efb-9783dfbc4db4} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 10 tab"
"Apr 1, 2026 2:18:39 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4508:27489 -prefMapHandle 4512:277965 -jsInitHandle 4516:242716 -parentBuildID 20260323080000 -ipcHandle 4536 -initialChannelId {bd1a876d-d5a0-4f06-8f15-fa8b78ded051} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 9 tab"
"Apr 1, 2026 2:18:38 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 4484:27489 -prefMapHandle 4488:277965 -jsInitHandle 4492:242716 -parentBuildID 20260323080000 -ipcHandle 4524 -initialChannelId {2af1f22c-ac82-4989-99cc-332914a759af} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 8 tab"
"Apr 1, 2026 2:18:55 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,"""firefox.exe"" -contentproc -isForBrowser -prefsHandle 5064:27489 -prefMapHandle 5172:277965 -jsInitHandle 5220:242716 -parentBuildID 20260323080000 -ipcHandle 5148 -initialChannelId {e37a87cd-2f08-4496-bd51-68cb1dd064c7} -parentPid 8448 -win32kLockedDown -appDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\browser"" - 11 tab"
"Apr 1, 2026 2:28:26 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:28:26 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:28:28 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:28:28 AM",rnathani-vm,rnathani-vm,ProcessCreated,26d8707490c85f80561b9410c310ca891b461f9471758a98ea6f6cdf43ff92f2,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe
"Apr 1, 2026 2:28:29 AM",rnathani-vm,rnathani-vm,ProcessCreated,5d7797c72d7eae405d6b2054d94c53494861eb1169d8a1b276775aa48dc94fd7,C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,"""tor.exe"" -f ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\rnathani-vm\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8024 DisableNetwork 1"
